No    	Deprem Kodu	Olus tarihi	Olus zamani	Enlem	Boylam	Der(km)	xM	MD	ML	Mw	Ms	Mb	Tip	Yer
000001	20160101235513	2016.01.01	23:55:13.69	37.8042	32.1055	005.1	1.1	0.0	1.1	0.0	0.0	0.0	Ke	SAGLIK-MERAM (KONYA) [North West  3.7 km]
000002	20160101235312	2016.01.01	23:53:12.80	37.8832	32.1635	005.0	1.7	0.0	1.7	0.0	0.0	0.0	Ke	KIZILOREN-MERAM (KONYA) [North East  4.8 km]
000003	20160101234910	2016.01.01	23:49:10.77	41.0537	39.9902	006.9	2.2	0.0	2.2	0.0	0.0	0.0	Ke	YESILYALI-ARSIN (TRABZON) [North 12.5 km]
000004	20160101234501	2016.01.01	23:45:01.89	37.8080	32.1050	005.3	2.6	0.0	2.6	0.0	0.0	0.0	Ke	SEFAKOY-MERAM (KONYA) [West 3.5 km]
000005	20160101232156	2016.01.01	23:21:56.02	39.1395	29.0697	005.0	1.6	0.0	1.6	0.0	0.0	0.0	Ke	SOGUT-SIMAV (KUTAHYA) [North West  1.2 km]
000006	20160101231832	2016.01.01	23:18:32.54	40.7327	29.0520	005.4	1.8	0.0	1.8	0.0	0.0	0.0	Ke	CINARCIK ACIKLARI-YALOVA (MARMARA DENIZI)
000007	20160101231254	2016.01.01	23:12:54.55	40.7317	29.0627	007.7	1.9	0.0	1.9	0.0	0.0	0.0	Ke	CINARCIK ACIKLARI-YALOVA (MARMARA DENIZI)
000008	20160101225342	2016.01.01	22:53:42.89	39.2717	40.2425	004.0	2.2	0.0	2.2	0.0	0.0	0.0	Ke	YAZGUNU-KIGI (BINGOL) [North West  0.3 km]
000009	20160101220707	2016.01.01	22:07:07.31	40.7202	29.0667	007.8	2.5	0.0	2.5	0.0	0.0	0.0	Ke	CINARCIK ACIKLARI-YALOVA (MARMARA DENIZI)
000010	20160101214932	2016.01.01	21:49:32.22	39.1483	29.0780	004.8	2.6	0.0	2.6	0.0	0.0	0.0	Ke	SOGUT-SIMAV (KUTAHYA) [North 2.4 km]
000011	20160101213531	2016.01.01	21:35:31.45	39.4040	28.2570	009.1	3.1	0.0	3.1	0.0	0.0	0.0	Ke	DURASILAR-BIGADIC (BALIKESIR) [North East  2.0 km]
000012	20160101213230	2016.01.01	21:32:30.82	36.2545	28.2725	061.4	2.4	0.0	2.4	0.0	0.0	0.0	Ke	AKDENIZ
000013	20160101204015	2016.01.01	20:40:15.27	39.1495	29.0753	004.8	2.4	0.0	2.4	0.0	0.0	0.0	Ke	SOGUT-SIMAV (KUTAHYA) [North West  2.0 km]
000014	20160101202818	2016.01.01	20:28:18.06	39.1565	29.0762	005.1	2.9	0.0	2.9	0.0	0.0	0.0	Ke	SOGUT-SIMAV (KUTAHYA) [North 3.1 km]
000015	20160101202642	2016.01.01	20:26:42.39	39.1683	29.0763	004.9	3.3	0.0	3.3	0.0	0.0	0.0	Ke	AHLATLICESME-SIMAV (KUTAHYA) [North East  3.8 km]
000016	20160101163925	2016.01.01	16:39:25.29	38.6798	42.9640	009.0	2.3	0.0	2.3	0.0	0.0	0.0	Ke	VAN GOLU
000017	20160101154556	2016.01.01	15:45:56.75	38.7872	30.4803	009.0	1.8	0.0	1.8	0.0	0.0	0.0	Ke	SADIKBEY- (AFYONKARAHISAR) [South East  0.8 km]
000018	20160101153558	2016.01.01	15:35:58.75	37.2390	28.2558	000.0	2.2	0.0	2.2	0.0	0.0	0.0	Sm	SALIHPASALAR- (MUGLA) [South East  1.5 km]
000019	20160101144350	2016.01.01	14:43:50.78	36.3765	29.3105	018.5	2.4	0.0	2.4	0.0	0.0	0.0	Ke	CUKURINCIR-FETHIYE (MUGLA) [South West  1.6 km]
000020	20160101140324	2016.01.01	14:03:24.26	38.8190	37.8703	005.3	2.1	0.0	2.1	0.0	0.0	0.0	Ke	DURSUNLU-HEKIMHAN (MALATYA) [North East  2.0 km]
000021	20160101140107	2016.01.01	14:01:07.68	38.7750	37.8663	009.2	2.0	0.0	2.0	0.0	0.0	0.0	Ke	GUZELYURT-HEKIMHAN (MALATYA) [West 1.7 km]
000022	20160101123959	2016.01.01	12:39:59.94	36.1480	29.6252	005.0	2.2	0.0	2.2	0.0	0.0	0.0	Ke	KAS (ANTALYA) [South West  6.5 km]
000023	20160101123845	2016.01.01	12:38:45.64	36.1598	29.6300	005.0	2.2	0.0	2.2	0.0	0.0	0.0	Ke	KAS (ANTALYA) [South 4.0 km]
000024	20160101111815	2016.01.01	11:18:15.60	36.9518	26.5298	005.0	2.8	0.0	2.8	0.0	0.0	0.0	Ke	AKDENIZ
